sqrt(s)	qsq2	x	f2	stat-err	syserr	toterr
296	12	0.000261	1.35	0.06	0.13	0.1431782106
296	12	0.000383	1.26	0.05	0.12	0.13
296	12	0.000562	1.19	0.05	0.12	0.13
296	12	0.000825	1.08	0.04	0.11	0.11704699910000001
296	12	0.00133	0.96	0.05	0.13	0.13928388279999998
296	12	0.00237	0.85	0.04	0.1	0.1077032961
296	12	0.00421	0.74	0.04	0.1	0.1077032961
296	12	0.0075	0.7	0.04	0.11	0.11704699910000001
296	12	0.0133	0.58	0.04	0.12	0.1264911064
296	20	0.000562	1.52	0.08	0.12	0.144222051
296	20	0.000825	1.17	0.07	0.08	0.10630145810000001
296	20	0.00133	1.03	0.05	0.08	0.09433981132000001
296	20	0.00237	1.03	0.05	0.08	0.09433981132000001
296	20	0.00421	0.83	0.04	0.08	0.0894427191
296	20	0.0075	0.74	0.04	0.08	0.0894427191
296	20	0.0133	0.64	0.04	0.07	0.08062257748
296	20	0.0237	0.51	0.05	0.08	0.09433981132000001
296	50	0.00133	1.46	0.1	0.12	0.1562049935
296	50	0.00237	1.08	0.08	0.09	0.12041594580000001
296	50	0.00421	1.0	0.07	0.09	0.1140175425
296	50	0.0075	0.65	0.06	0.08	0.1
296	50	0.0133	0.66	0.06	0.08	0.1
296	50	0.0237	0.52	0.05	0.07	0.08602325267000001
296	50	0.0422	0.4	0.05	0.08	0.09433981132000001
296	65	0.00237	1.4	0.11	0.11	0.1555634919
296	65	0.00421	1.09	0.09	0.09	0.1272792206
296	65	0.0075	0.95	0.08	0.11	0.1360147051
296	65	0.0133	0.69	0.08	0.07	0.10630145810000001
296	80	0.00237	1.09	0.13	0.13	0.18384776309999998
296	80	0.00421	1.19	0.14	0.12	0.1843908891
296	80	0.0075	0.7	0.08	0.06	0.1
296	80	0.0133	0.71	0.07	0.08	0.10630145810000001
296	120	0.00237	1.6	0.21	0.15	0.258069758
296	120	0.00421	0.99	0.14	0.14	0.1979898987
296	120	0.0075	0.83	0.12	0.13	0.17691806010000002
296	120	0.0133	0.73	0.11	0.11	0.1555634919
