sqrt(s)	qsq2	x	f2
296	12	0.000261	0.04041334015373335
296	12	0.000383	0.03692700780735509
296	12	0.000562	0.033696351137077786
296	12	0.000825	0.030671087103260476
296	12	0.00133	0.02718375114187656
296	12	0.00237	0.02339986094666528
296	12	0.00421	0.020050225376545956
296	12	0.0075	0.017066108028595067
296	12	0.0133	0.015712744490127696
296	20	0.000562	0.0410890388028345
296	20	0.000825	0.037194981387925964
296	20	0.00133	0.03276288215583167
296	20	0.00237	0.027979959397242696
296	20	0.00421	0.023756418226760206
296	20	0.0075	0.020021768791808805
296	20	0.0133	0.018338001029663327
296	50	0.00133	0.0447543706872782
296	50	0.00237	0.0377173877060954
296	50	0.00421	0.031529954528352166
296	50	0.0075	0.026246933867911968
296	50	0.0133	0.02385521351852334
296	50	0.0237	0.02385521351852334
296	50	0.0422	0.02385521351852334
