q2	x	redx
1.5	1e-05	0.5662101370273589
1.5	1.438449888287663e-05	0.6569095797964933
1.5	2.06913808111479e-05	0.7150861284073561
1.5	2.9763514416313192e-05	0.7192665579947435
1.5	4.281332398719396e-05	0.6973125860581093
1.5	6.158482110660267e-05	0.665723801705434
1.5	8.858667904100833e-05	0.6310712473056971
1.5	0.00012742749857031334	0.5959074753128089
1.5	0.00018329807108324357	0.5612380822425512
1.5	0.00026366508987303583	0.5274671284606628
1.5	0.000379269019073225	0.4948275123440571
1.5	0.0005455594781168515	0.4634005609372465
1.5	0.0007847599703514606	0.4332308490320243
1.5	0.0011288378916846883	0.4043681338911874
1.5	0.001623776739188721	0.3768066941055141
1.5	0.002335721469090121	0.35057695075212336
1.5	0.003359818286283781	0.3256444110079679
1.5	0.004832930238571752	0.3020227391929131
1.5	0.0069519279617756054	0.279686348467535
1.5	0.01	0.2586078270318696
8.5	1e-05	1.6955986989360896
8.5	1.438449888287663e-05	1.5227217887096098
8.5	2.06913808111479e-05	1.3348927250592082
8.5	2.9763514416313192e-05	1.141550577170608
8.5	4.281332398719396e-05	1.006039507328433
8.5	6.158482110660267e-05	1.0615848355483921
8.5	8.858667904100833e-05	1.2241564777549139
8.5	0.00012742749857031334	1.2813137766803366
8.5	0.00018329807108324357	1.2447100660878054
8.5	0.00026366508987303583	1.171259836612645
8.5	0.000379269019073225	1.0875516730190515
8.5	0.0005455594781168515	1.0047580774849891
8.5	0.0007847599703514606	0.9250246174429884
8.5	0.0011288378916846883	0.8496313243370898
8.5	0.001623776739188721	0.7795418643630678
8.5	0.002335721469090121	0.7143740231899343
8.5	0.003359818286283781	0.6536675641943138
8.5	0.004832930238571752	0.5975384053175067
8.5	0.0069519279617756054	0.5460464896259293
8.5	0.01	0.49851505985721695
27.0	1e-05	2.959916015654053
27.0	1.438449888287663e-05	2.7083407383790705
27.0	2.06913808111479e-05	2.463629002894338
27.0	2.9763514416313192e-05	2.220898260021266
27.0	4.281332398719396e-05	1.9818817988804938
27.0	6.158482110660267e-05	1.733736442291021
27.0	8.858667904100833e-05	1.4835536468057473
27.0	0.00012742749857031334	1.2830616692140338
27.0	0.00018329807108324357	1.2768090746438217
27.0	0.00026366508987303583	1.4230137939537253
27.0	0.000379269019073225	1.4773724387936686
27.0	0.0005455594781168515	1.4236424914582806
27.0	0.0007847599703514606	1.3268486840493092
27.0	0.0011288378916846883	1.220157352778312
27.0	0.001623776739188721	1.1157837403178419
27.0	0.002335721469090121	1.0174689277310227
27.0	0.003359818286283781	0.92641640671943
27.0	0.004832930238571752	0.8425715352732988
27.0	0.0069519279617756054	0.765690826777851
27.0	0.01	0.6953673109046183
200.0	1e-05	6.2313241699294455
200.0	1.438449888287663e-05	5.65885171890483
200.0	2.06913808111479e-05	5.145735011443165
200.0	2.9763514416313192e-05	4.6650100294123025
200.0	4.281332398719396e-05	4.231381371329128
200.0	6.158482110660267e-05	3.831182676395141
200.0	8.858667904100833e-05	3.4571809296387
200.0	0.00012742749857031334	3.111882351046237
200.0	0.00018329807108324357	2.787082636522955
200.0	0.00026366508987303583	2.477368283190918
200.0	0.000379269019073225	2.1768399949070254
200.0	0.0005455594781168515	1.8820369049140901
200.0	0.0007847599703514606	1.6104770779094746
200.0	0.0011288378916846883	1.449264051668686
200.0	0.001623776739188721	1.4860286708699388
200.0	0.002335721469090121	1.5437294447385175
200.0	0.003359818286283781	1.4954421239243547
200.0	0.004832930238571752	1.3888115600771829
200.0	0.0069519279617756054	1.2677877906862915
200.0	0.01	1.1493458758178483
