q2	cme	x	redx	err
0.85	318.0	1.24e-05	0.552	2.57
0.85	318.0	2e-05	0.611	5.36
0.85	318.0	3.98e-05	0.5579999999999999	2.03
0.85	318.0	5e-05	0.541	4.52
0.85	318.0	0.0001	0.503	3.78
0.85	318.0	0.000251	0.397	6.01
0.85	318.0	0.0008	0.349	4.61
0.85	318.0	0.0032	0.308	4.54
1.2	318.0	1.76e-05	0.5920000000000001	2.56
1.2	318.0	2e-05	0.667	2.63
1.2	318.0	3.2e-05	0.685	2.73
1.2	318.0	6.31e-05	0.649	1.47
1.2	318.0	8e-05	0.595	2.05
1.2	318.0	0.00013000000000000002	0.5429999999999999	4.97
1.2	318.0	0.00015800000000000002	0.5329999999999999	1.54
1.2	318.0	0.000398	0.493	3.36
1.2	318.0	0.0013	0.3720000000000001	3.55
1.2	318.0	0.005	0.298	4.51
1.5	318.0	1.85e-05	0.619	7.49
1.5	318.0	2.2e-05	0.696	1.94
1.5	318.0	3.2e-05	0.753	2.15
1.5	318.0	5e-05	0.76	1.98
1.5	318.0	8e-05	0.6990000000000001	2.15
1.5	318.0	0.00013000000000000002	0.6459999999999999	2.43
1.5	318.0	0.0002	0.612	2.86
1.5	318.0	0.00032	0.5770000000000001	2.26
1.5	318.0	0.0005	0.547	7.05
1.5	318.0	0.0008	0.49	2.47
1.5	318.0	0.001	0.462	5.22
1.5	318.0	0.0032	0.41	2.31
2.0	318.0	2.47e-05	0.7809999999999999	5.29
2.0	318.0	2.9299999999999997e-05	0.7879999999999999	1.65
2.0	318.0	5e-05	0.823	1.93
2.0	318.0	8e-05	0.762	1.34
2.0	318.0	0.00013000000000000002	0.723	1.3
2.0	318.0	0.0002	0.679	1.32
2.0	318.0	0.00032	0.627	1.65
2.0	318.0	0.0005	0.575	2.04
2.0	318.0	0.001	0.51	1.79
2.0	318.0	0.0032	0.426	1.89
2.7	318.0	3.09e-05	0.845	3.17
2.7	318.0	3.66e-05	0.866	1.99
2.7	318.0	4.09e-05	0.937	6.84
2.7	318.0	5e-05	0.883	1.65
2.7	318.0	8e-05	0.889	1.03
2.7	318.0	0.00013000000000000002	0.805	0.87
2.7	318.0	0.0002	0.7809999999999999	1.61
2.7	318.0	0.00032	0.7	1.27
2.7	318.0	0.0005	0.645	1.35
2.7	318.0	0.0008	0.594	1.84
2.7	318.0	0.0013	0.5670000000000001	1.63
2.7	318.0	0.002	0.48100000000000004	2.74

