# 	par	q2	pt_low	pt_high	order
# 	pi0	0.2	1.0	5.0	2
cme	y	pt	dN
200.0	3.3	1.0	0.024364126880886766
200.0	3.3	1.5	0.0021901676451543148
200.0	3.3	2.0	0.00024428673669605103
200.0	3.3	2.5	3.716818514767522e-05
200.0	3.3	3.0	6.258347269252446e-06
200.0	3.3	3.5	1.1045512799537584e-06
200.0	3.3	4.0	2.1634223137428894e-07
200.0	3.3	4.5	4.224612199482387e-08
200.0	3.8	1.0	0.012480799985371568
200.0	3.8	1.5	0.0008254599964265772
200.0	3.8	2.0	5.2602069830308876e-05
200.0	3.8	2.5	3.5226650233218298e-06
200.0	3.8	3.0	1.8221972770927846e-07
200.0	3.8	3.5	5.065899052724436e-09
200.0	3.8	4.0	3.7276111909199554e-11
